DDCTransactionId31A3D0094EFEB5732EA619B0D1D753BA_15, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_3E9DD153456FBFC774C1B0A118D3BFA__BCAC7ABACC5B5D4A6DC129FB4BB94D4A3E089E06, StartTime=2016.04.27-14.23.14, HierarchicalDDC=, DataSize=262405, Duration=0.115294, RunGuid=RunIDDF5EE9834C9E014AB8FC529D94397F55
DDCTransactionIdE77800DB4E7290827F4446828ADB3A41_16, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_3E9DD153456FBFC774C1B0A118D3BFA__D20BFAB030FB8CFC04A0587A92BEDA874205D3CA, StartTime=2016.04.27-14.23.14, HierarchicalDDC=, DataSize=65797, Duration=0.062432, RunGuid=RunIDDF5EE9834C9E014AB8FC529D94397F55
DDCTransactionIdE77800DB4E7290827F4446828ADB3A41_17, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_3E9DD153456FBFC774C1B0A118D3BFA__026BD0D5597652AED9C7644143EE6AB59FB39BB5, StartTime=2016.04.27-14.23.14, HierarchicalDDC=, DataSize=22958, Duration=0.034470, RunGuid=RunIDDF5EE9834C9E014AB8FC529D94397F55
DDCTransactionIdD5F5CA61436F3ED86869CCA694099907_16, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_32B187104DAC02E7FCF8EB9B05E94410_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.27-14.23.14, Duration=1.056034, RunGuid=RunIDDF5EE9834C9E014AB8FC529D94397F55
DDCTransactionIdE77800DB4E7290827F4446828ADB3A41_18, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_32B187104DAC02E7FCF8EB9B05E94__3F57941ACE0FA4BD724E8E4557C0A52A0A5DA51F, StartTime=2016.04.27-14.23.14, HierarchicalDDC=, DataSize=3270, Duration=0.018388, RunGuid=RunIDDF5EE9834C9E014AB8FC529D94397F55
DDCTransactionIdD5F5CA61436F3ED86869CCA694099907_17, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_A1841A5A48DBDCFF525B3B8EAEBBABC8_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.27-14.23.15, Duration=864.291809, RunGuid=RunIDDF5EE9834C9E014AB8FC529D94397F55
DDCTransactionIdE77800DB4E7290827F4446828ADB3A41_19, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_A1841A5A48DBDCFF525B3B8EAEBBA__948ECD6FE901F74B4A2F247027DC9DCAFDBCD692, StartTime=2016.04.27-14.23.16, HierarchicalDDC=, DataSize=4194569, Duration=4.260141, RunGuid=RunIDDF5EE9834C9E014AB8FC529D94397F55
DDCTransactionId31A3D0094EFEB5732EA619B0D1D753BA_16, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_A1841A5A48DBDCFF525B3B8EAEBBA__29EEB3628395245A647535BD652E940B87E203BB, StartTime=2016.04.27-14.23.16, HierarchicalDDC=, DataSize=1048841, Duration=2.193656, RunGuid=RunIDDF5EE9834C9E014AB8FC529D94397F55
DDCTransactionId31A3D0094EFEB5732EA619B0D1D753BA_17, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_A1841A5A48DBDCFF525B3B8EAEBBA__B4077EDD9E35C5D375C5957E85D234439DEBF00E, StartTime=2016.04.27-14.23.16, HierarchicalDDC=, DataSize=262407, Duration=0.228673, RunGuid=RunIDDF5EE9834C9E014AB8FC529D94397F55
DDCTransactionId31A3D0094EFEB5732EA619B0D1D753BA_18, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_A1841A5A48DBDCFF525B3B8EAEBBA__2620E9522DF2F957F65A2D699B197BD7E0F4140C, StartTime=2016.04.27-14.23.16, HierarchicalDDC=, DataSize=65799, Duration=0.170067, RunGuid=RunIDDF5EE9834C9E014AB8FC529D94397F55
